location,zip,Unique Neighborhoods,Unique Zip Code,date,time,offenseCatagory,crimeSeverity,uniqueOffenses,severityIndex,offenseType,count,matchingZips
Downtown,97205,,,8/27/20,801,Fraud Offenses,1,,,False Pretenses/Swindle/Confidence Game,1,
Downtown,97205,,,8/14/20,2050,Assault Offenses,10,,,Simple Assault,1,
Goose Hollow,97204,,,4/6/20,1032,Larceny Offenses,5,,,All Other Larceny,1,
Goose Hollow,97204,,,5/26/20,1928,Larceny Offenses,5,,,All Other Larceny,1,
Goose Hollow,97204,,,5/6/20,1829,Larceny Offenses,5,,,All Other Larceny,1,
Goose Hollow,97204,,,9/17/20,800,Vandalism,4,,,Vandalism,1,
Goose Hollow,97204,,,11/10/20,1430,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Goose Hollow,97204,,,11/23/20,1457,Assault Offenses,10,,,Aggravated Assault,1,
Goose Hollow,97204,,,10/19/20,230,Larceny Offenses,5,,,All Other Larceny,1,
Hillsdale,97201,,,7/18/20,200,Vandalism,4,,,Vandalism,1,
Downtown,97205,,,1/6/20,1755,Fraud Offenses,1,,,Credit Card/ATM Fraud,1,
Downtown,97205,,,1/6/20,1755,Fraud Offenses,1,,,False Pretenses/Swindle/Confidence Game,1,
Downtown,97205,,,1/6/20,1755,Fraud Offenses,1,,,Identity Theft,1,
Downtown,97205,,,1/6/20,1755,Stolen Property Offenses,7,,,Stolen Property Offenses,1,
Downtown,97205,,,3/8/20,1430,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Downtown,97205,,,3/14/20,1612,Vandalism,4,,,Vandalism,1,
Downtown,97205,,,5/5/20,1430,Drug/Narcotic Offenses,4,,,Drug/Narcotic Violations,1,
Downtown,97205,,,5/13/20,1342,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Downtown,97205,,,7/30/20,130,Vandalism,4,,,Vandalism,1,
Downtown,97205,,,9/1/20,854,Arson,10,,,Arson,1,
Downtown,97205,,,9/2/20,132,Vandalism,4,,,Vandalism,1,
Downtown,97205,,,11/1/20,452,Drug/Narcotic Offenses,4,,,Drug/Narcotic Violations,1,
Downtown,97205,,,6/13/20,630,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Downtown,97205,,,6/25/20,1235,Larceny Offenses,5,,,Shoplifting,1,
Downtown,97205,,,8/30/20,55,Vandalism,4,,,Vandalism,1,
Downtown,97205,,,10/27/20,2200,Vandalism,4,,,Vandalism,1,
Southwest Hills,97201,,,7/19/20,2045,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Southwest Hills,97201,,,7/18/20,1800,Fraud Offenses,1,,,False Pretenses/Swindle/Confidence Game,1,
Goose Hollow,97204,,,9/22/20,323,Larceny Offenses,5,,,All Other Larceny,1,
South Burlingame,97219,,,2/27/19,1225,Fraud Offenses,1,,,Identity Theft,1,
Goose Hollow,97204,,,1/2/20,816,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Goose Hollow,97204,,,1/27/20,1538,Larceny Offenses,5,,,Theft From Building,1,
Goose Hollow,97204,,,6/16/20,500,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Goose Hollow,97204,,,7/6/20,200,Vandalism,4,,,Vandalism,1,
Goose Hollow,97204,,,11/5/20,2352,Burglary,10,,,Burglary,1,
Goose Hollow,97204,,,6/27/20,200,Burglary,10,,,Burglary,1,
Goose Hollow,97204,,,6/28/20,2000,Vandalism,4,,,Vandalism,1,
Goose Hollow,97204,,,6/30/20,0,Vandalism,4,,,Vandalism,1,
Goose Hollow,97204,,,6/30/20,0,Vandalism,4,,,Vandalism,1,
Goose Hollow,97204,,,10/8/20,1900,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Goose Hollow,97204,,,11/14/20,2105,Burglary,10,,,Burglary,1,
Goose Hollow,97204,,,2/16/20,1200,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Goose Hollow,97204,,,7/17/20,2230,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Goose Hollow,97204,,,5/19/20,1954,Pornography/Obscene Material,1,,,Pornography/Obscene Material,1,
Goose Hollow,97204,,,1/10/20,1144,Larceny Offenses,5,,,All Other Larceny,1,
Goose Hollow,97204,,,3/2/20,2300,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Goose Hollow,97204,,,7/27/20,300,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Goose Hollow,97204,,,8/17/20,1100,Larceny Offenses,5,,,All Other Larceny,1,
Goose Hollow,97204,,,8/26/20,100,Larceny Offenses,5,,,Theft From Building,1,
Goose Hollow,97204,,,9/29/20,1900,Larceny Offenses,5,,,Theft From Building,1,
Hillsdale,97201,,,7/6/20,1900,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Hillsdale,97201,,,9/10/20,1800,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Arnold Creek,97219,,,1/7/20,929,Vandalism,4,,,Vandalism,1,
Goose Hollow,97204,,,2/10/20,1,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Goose Hollow,97204,,,4/28/20,2300,Larceny Offenses,5,,,All Other Larceny,1,
Goose Hollow,97204,,,2/23/20,0,Fraud Offenses,1,,,Identity Theft,1,
Goose Hollow,97204,,,6/19/20,1820,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Goose Hollow,97204,,,8/4/20,1805,Fraud Offenses,1,,,Identity Theft,1,
